"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Gm265205",0.541114934761645,1.12022934016547,0,0.011,1,"Gm26520","9"
"Gm138075",0.541114935101144,1.09589673193699,0,0.011,1,"Gm13807","9"
"Gm451552",0.541114935101144,1.07887788049275,0,0.011,1,"Gm45155","9"
"Per22",0.541114935440643,1.21539046578667,0,0.011,1,"Per2","9"
"Zswim35",0.541114935440643,1.07575258448037,0,0.011,1,"Zswim3","9"
"Gm143274",0.541114935440643,1.11410628777069,0,0.011,1,"Gm14327","9"
"Pparg2",0.541114935440643,1.04526963860437,0,0.011,1,"Pparg","9"
"Cand23",0.541114935440643,1.12158024374454,0,0.011,1,"Cand2","9"
"Zfp9411",0.541114935440643,1.16233024795806,0,0.011,1,"Zfp94","9"
"Far1os3",0.541114935440643,1.16589669136649,0,0.011,1,"Far1os","9"
"Zc3h12c4",0.541114935440643,1.02042061105702,0,0.011,1,"Zc3h12c","9"
"Adat23",0.541114935440643,1.11442276151989,0,0.011,1,"Adat2","9"
"Zfp3652",0.541114935440643,1.06706973723687,0,0.011,1,"Zfp365","9"
"Rhbdd35",0.541114935440643,1.10082262330897,0,0.011,1,"Rhbdd3","9"
"Ddc3",0.541114935440643,1.07436324887608,0,0.011,1,"Ddc","9"
"Gm268392",0.541114935440643,1.08444690516694,0,0.011,1,"Gm26839","9"
"Gm113614",0.541114935440643,1.12963753686878,0,0.011,1,"Gm11361","9"
"AC113595.12",0.541114935440643,1.05140818515992,0,0.011,1,"AC113595.1","9"
"Etv55",0.541114935440643,1.15840487006443,0,0.011,1,"Etv5","9"
"BC1061793",0.541114935440643,1.15296849620987,0,0.011,1,"BC106179","9"
"Impg21",0.541114935440643,1.04931530562114,0,0.011,1,"Impg2","9"
"Ebi34",0.541114935440643,1.11428997030576,0,0.011,1,"Ebi3","9"
"Cdc42bpg2",0.541114935440643,1.18209751323913,0,0.011,1,"Cdc42bpg","9"
"Zfp5243",0.541292065520885,0.950579287702362,0.059,0.037,1,"Zfp524","9"
"Lrrc75b1",0.541454856798169,1.78502735182905,0.029,0.016,1,"Lrrc75b","9"
"Aggf1",0.541820907077347,0.648447859580447,0.176,0.14,1,"Aggf1","9"
"Dtwd13",0.541827581905636,1.77759118805435,0.029,0.016,1,"Dtwd1","9"
"Zbtb401",0.542121461096093,1.0110444544534,0.088,0.065,1,"Zbtb40","9"
"Aldh3a21",0.542445929484588,0.824203352280384,0.088,0.062,1,"Aldh3a2","9"
"Arl8a2",0.542561112408657,0.560710166237334,0.118,0.085,1,"Arl8a","9"
"Tlr123",0.542739335107754,1.59503175136673,0.029,0.016,1,"Tlr12","9"
"Bckdk2",0.543458143626305,0.91642071598285,0.059,0.037,1,"Bckdk","9"
"Smim244",0.543495272370308,1.57949828087486,0.029,0.016,1,"Smim24","9"
"Plekhf23",0.544231358444818,0.672786510205093,0.088,0.061,1,"Plekhf2","9"
"Cecr23",0.544251732606917,1.3836182550516,0.029,0.016,1,"Cecr2","9"
"Pigb1",0.544965165798463,1.03461202071072,0.059,0.039,1,"Pigb","9"
"Fan13",0.545008715886505,1.55075854554712,0.029,0.016,1,"Fan1","9"
"Lrsam14",0.545077143736285,1.11487505096586,0,0.011,1,"Lrsam1","9"
